ht	Ncfsc
gí	Vmm-2p
fá	Vmc-2s
tá	Vm-h2s
iú	Ncmsc
nú	Ncmsc
óra	Ncmsg
ínn	Vm-h1s
dar	Vmis3p
mar	Vmis1p
onn	Vmip
teá	Vm-h2s
ítí	Vm-h0
ódh	Vmc
faí	Vmc-0
far	Vmif0
óga	Ncfpc
ora	Ncmsg
thú	Ncmsc
feá	Vmc-2s
lfí	Vmc-0
asú	Ncmsc
aíl	Ncfsc
alú	Ncmsc
tear	Vmip0
óidh	Vmif
óinn	Vmc-1s
óige	Ncfsg
tóir	Ncmsc
eodh	Vmc
oidh	Vmif
fadh	Vmc
cann	Vmip
ctaí	Vm-h0
ctar	Vmip0
eoir	Ncmsc
fear	Vmif0
fidh	Vmif
finn	Vmc-1s
róir	Ncmsc
eoga	Ncfpc
oige	Ncfsg
dóir	Ncmsc
gann	Vmip
gtaí	Vm-h0
gtar	Vmip0
úint	Ncfsc
sacha	Aq--p
tacha	Aq--p
aíche	Aq-fsg
óidís	Vmc-3p
óimid	Vmif1p
óimis	Vmc-1p
lanna	Ncfpc
inise	Npfsg
oidís	Vmc-3p
oimid	Vmif1p
oimis	Vmc-1p
eoinn	Vmc-1s
faidh	Vmif
fainn	Vmc-1s
cainn	Vm-h1s
áiltí	Vm-h0
álann	Vmip
haint	Ncfsc
dacha	Aq--p
feadh	Vmc
fidís	Vmc-3p
fimid	Vmif1p
fimis	Vmc-1p
thóir	Ncmsc
gainn	Vm-h1s
aíola	Ncfsg
scéil	Ncmsg
